405,	0.8206388206388207,0.8206388206388207,
104,341,	0.2780638516992791,0.995085995085995,
168,168,	0.6389324960753532,1.0,
168,405,	0.639937106918239,1.0,
288,51,	0.7580213903743316,0.6965601965601965,
442,205,	0.28553871364195005,0.8562653562653563,
405,168,	0.6369327073552425,1.0,
405,405,	0.6389324960753532,1.0,
168,288,51,	0.6768603465851172,0.8157248157248157,
288,315,341,	0.8333333333333334,0.036855036855036855,
168,405,168,	0.49141630901287553,0.8439803439803439,
104,331,341,	0.23806734992679357,0.9987714987714987,
104,138,341,	0.19166666666666668,0.08476658476658476,
168,168,168,	0.5139385275196569,0.8832923832923832,
288,130,341,	0.23391812865497075,0.04914004914004914,
104,78,51,	0.9444444444444444,0.04176904176904177,
405,405,405,	0.5132237312365976,0.8820638820638821,
442,205,405,	0.28897196261682245,0.9496314496314496,
104,94,341,	0.23806734992679357,0.9987714987714987,
405,442,205,	0.2874766355140187,0.9447174447174447,
405,104,341,	0.17365684575389947,0.6154791154791155,
168,168,405,	0.5264285714285715,0.9054054054054054,
405,168,168,	0.47962830593280914,0.8243243243243243,
104,367,51,	0.2046783625730994,0.042997542997543,
288,51,168,	0.6615698267074414,0.7972972972972973,
104,341,168,	0.16707105719237436,0.5921375921375921,
104,375,341,	0.19722222222222222,0.08722358722358722,
288,51,405,	0.6748216106014271,0.8132678132678133,
405,288,51,	0.6676860346585117,0.8046683046683046,
168,104,341,	0.17475728155339806,0.6191646191646192,
168,405,405,	0.5264285714285715,0.9054054054054054,
405,405,168,	0.47748391708363114,0.8206388206388207,
104,341,405,	0.1754507628294036,0.6216216216216216,
288,183,341,	0.2954356846473029,0.43734643734643736,
104,420,51,	0.28962655601659754,0.42874692874692877,
405,168,405,	0.49856938483547925,0.8562653562653563,
442,205,168,	0.28897196261682245,0.9496314496314496,
168,442,205,	0.2874766355140187,0.9447174447174447,
