191,	0.8079847908745247,0.797373358348968,	0.8079847908745247,0.797373358348968,
87,	0.10101010101010101,0.01876172607879925,	0.15873015873015872,0.01876172607879925,
416,	1.0,1.0,	1.0,1.0,
428,	0.8079847908745247,0.797373358348968,	0.8079847908745247,0.797373358348968,
324,	0.10101010101010101,0.01876172607879925,	0.15873015873015872,0.01876172607879925,
416,179,	1.0,1.0,	1.0,1.0,
416,416,	1.0,1.0,	1.0,1.0,
428,416,	1.0,0.797373358348968,	1.0,0.797373358348968,
223,460,	0.1842374616171955,0.6754221388367729,	0.18588730911005794,0.6622889305816135,
428,428,	0.8079847908745247,0.797373358348968,	0.8079847908745247,0.797373358348968,
7,138,	0.034233496999454445,0.4709193245778612,	0.03438827236607755,0.4709193245778612,
7,244,	0.024151482672382995,0.6341463414634146,	0.024460848169054857,0.6341463414634146,
416,428,	1.0,0.797373358348968,	1.0,0.797373358348968,
191,179,	1.0,0.797373358348968,	1.0,0.797373358348968,
164,401,	0.017595307917888565,0.01125703564727955,	0.01791044776119403,0.01125703564727955,
207,444,	0.01264321062978781,0.699812382739212,	0.012790617927439818,0.699812382739212,
416,191,	1.0,0.797373358348968,	1.0,0.797373358348968,
179,191,	1.0,0.797373358348968,	1.0,0.797373358348968,
351,114,	0.024539877300613498,0.1425891181988743,
191,191,	0.8079847908745247,0.797373358348968,	0.8079847908745247,0.797373358348968,
378,141,	0.10196078431372549,0.0975609756097561,	0.10317460317460317,0.0975609756097561,
264,27,	0.018867924528301886,0.0375234521575985,	0.018867924528301886,0.0375234521575985,
223,141,	0.027700831024930747,0.01876172607879925,	0.027700831024930747,0.01876172607879925,
375,244,	0.034233496999454445,0.4709193245778612,	0.03438827236607755,0.4709193245778612,
191,416,	1.0,0.797373358348968,	1.0,0.797373358348968,
146,383,	0.010728476821192053,0.15196998123827393,	0.010728476821192053,0.15196998123827393,
428,191,	0.8079847908745247,0.797373358348968,	0.8079847908745247,0.797373358348968,
191,428,	0.8079847908745247,0.797373358348968,	0.8079847908745247,0.797373358348968,
179,428,	1.0,0.797373358348968,	1.0,0.797373358348968,
378,460,	0.027700831024930747,0.01876172607879925,	0.025423728813559324,0.016885553470919325,
179,179,	1.0,1.0,	1.0,1.0,
428,179,	1.0,0.797373358348968,	1.0,0.797373358348968,
179,416,	1.0,1.0,	1.0,1.0,
375,27,	0.3333333333333333,0.001876172607879925,	0.3333333333333333,0.001876172607879925,
264,138,	0.3333333333333333,0.001876172607879925,	0.3333333333333333,0.001876172607879925,
161,398,	0.016893954813759413,0.15572232645403378,	0.015384615384615385,0.005628517823639775,
416,94,331,	0.7272727272727273,0.0150093808630394,	0.7272727272727273,0.0150093808630394,
428,179,179,	1.0,0.797373358348968,	1.0,0.797373358348968,
416,7,244,	0.08939434012166093,0.6341463414634146,	0.08986971550119649,0.6341463414634146,
179,7,138,	0.10955914447839371,0.4709193245778612,	0.10955914447839371,0.4709193245778612,
428,428,179,	1.0,0.797373358348968,	1.0,0.797373358348968,
