290,113,	0.010526315789473684,0.00980392156862745,
204,87,	0.8571428571428571,0.058823529411764705,	1.0,0.034482758620689655,
204,324,	0.6666666666666666,0.058823529411764705,	0.5,0.0375,
324,204,	0.2857142857142857,0.0196078431372549,	0.4,0.022988505747126436,
87,204,	1.0,0.0196078431372549,	1.0,0.022988505747126436,
350,113,	0.013988399863527807,0.4019607843137255,	0.015971148892323546,0.3875,
350,204,	1.0,0.00980392156862745,	1.0,0.011494252873563218,
350,458,	0.020202020202020204,0.0196078431372549,
293,56,204,	0.05,0.00980392156862745,	0.08333333333333333,0.011627906976744186,
76,76,204,	0.057692307692307696,0.058823529411764705,	0.06666666666666667,0.06896551724137931,
76,313,204,	0.08235294117647059,0.06862745098039216,	0.08641975308641975,0.08045977011494253,
204,441,204,	0.9357798165137615,1.0,	1.0,0.9195402298850575,
350,344,113,	0.01559792027729636,0.17647058823529413,	0.01455604075691412,0.125,
313,313,204,	0.07228915662650602,0.058823529411764705,	0.075,0.06896551724137931,
350,2,113,	0.012917115177610334,0.23529411764705882,	0.011699507389162561,0.2375,
350,107,113,	0.012998266897746967,0.14705882352941177,	0.01466275659824047,0.125,
242,5,204,	0.07446808510638298,0.06862745098039216,	0.15384615384615385,0.04597701149425287,
350,326,204,	0.05714285714285714,0.0196078431372549,	0.06666666666666667,0.011494252873563218,
296,59,204,	0.023305084745762712,0.10784313725490197,	0.023758099352051837,0.12643678160919541,
350,249,113,	0.016,0.23529411764705882,	0.01694915254237288,0.2125,
350,306,113,	0.017711171662125342,0.12745098039215685,	0.020089285714285716,0.1125,
350,69,113,	0.01634877384196185,0.11764705882352941,	0.017699115044247787,0.1,
342,105,204,	0.016591251885369532,0.10784313725490197,	0.025396825396825397,0.09195402298850575,
204,350,113,	0.01765729917930863,0.696078431372549,	0.03495044340114763,0.8375,
89,326,204,	0.4,0.0392156862745098,	0.6,0.034482758620689655,
350,350,113,	0.07692307692307693,0.00980392156862745,	0.14285714285714285,0.0125,
313,76,204,	0.0660377358490566,0.06862745098039216,	0.06382978723404255,0.06896551724137931,
350,113,204,	0.10726643598615918,0.6078431372549019,	0.12430939226519337,0.5172413793103449,
350,12,113,	0.015333333333333332,0.22549019607843138,	0.01665034280117532,0.2125,
350,350,204,	1.0,0.00980392156862745,	1.0,0.011494252873563218,
350,111,113,	0.1111111111111111,0.00980392156862745,
113,350,204,	0.07142857142857142,0.00980392156862745,	0.09090909090909091,0.011494252873563218,
109,346,204,	0.25,0.00980392156862745,	0.5,0.011494252873563218,
113,113,204,	0.07142857142857142,0.00980392156862745,	0.09090909090909091,0.011494252873563218,
350,239,113,	0.013455328310010764,0.24509803921568626,	0.011663597298956415,0.2375,
89,113,204,	0.017391304347826087,0.0196078431372549,	0.010869565217391304,0.011494252873563218,
